year,bydel,total_stemmer,parti,forhand,valgting,stemmer,stemmeandel,gjennomsnittsinntekt,parti_kort,politisk_pos
2019,Alna,20208,Arbeiderpartiet,3569,4148,7717,0.3818784639746635,415000,Ap,2
2019,Alna,20208,Fremskrittspartiet,852,1024,1876,0.09283452098178939,415000,FrP,9
2019,Alna,20208,Høyre,1116,1698,2814,0.13925178147268408,415000,H,8
2019,Alna,20208,Kristelig Folkeparti,177,289,466,0.02306017418844022,415000,KrF,7
2019,Alna,20208,Miljøpartiet De Grønne,733,765,1498,0.07412905779889153,415000,MDG,3
2019,Alna,20208,Rødt,864,992,1856,0.09184481393507522,415000,R,0
2019,Alna,20208,Senterpartiet,240,324,564,0.027909738717339667,415000,Sp,4
2019,Alna,20208,SV - Sosialistisk Venstreparti,929,1246,2175,0.10763064133016627,415000,SV,1
2019,Alna,20208,Venstre,194,411,605,0.02993863816310372,415000,V,6
2019,Bjerke,13556,Arbeiderpartiet,1542,2376,3918,0.28902331071112425,471000,Ap,2
2019,Bjerke,13556,Fremskrittspartiet,532,658,1190,0.08778400708173502,471000,FrP,9
2019,Bjerke,13556,Høyre,991,1664,2655,0.19585423428740042,471000,H,8
2019,Bjerke,13556,Kristelig Folkeparti,107,235,342,0.02522868102685158,471000,KrF,7
2019,Bjerke,13556,Miljøpartiet De Grønne,663,1006,1669,0.12311891413396282,471000,MDG,3
2019,Bjerke,13556,Rødt,534,723,1257,0.09272646798465624,471000,R,0
2019,Bjerke,13556,Senterpartiet,150,257,407,0.030023605783416937,471000,Sp,4
2019,Bjerke,13556,SV - Sosialistisk Venstreparti,552,956,1508,0.11124225435231631,471000,SV,1
2019,Bjerke,13556,Venstre,158,452,610,0.044998524638536444,471000,V,6
2019,Frogner,30689,Arbeiderpartiet,1514,1989,3503,0.1141451334354329,711000,Ap,2
2019,Frogner,30689,Fremskrittspartiet,1058,1069,2127,0.06930822118674444,711000,FrP,9
2019,Frogner,30689,Høyre,5454,7775,13229,0.4310665059141712,711000,H,8
2019,Frogner,30689,Kristelig Folkeparti,203,246,449,0.01463064941835837,711000,KrF,7
2019,Frogner,30689,Miljøpartiet De Grønne,2404,2537,4941,0.16100231353253608,711000,MDG,3
2019,Frogner,30689,Rødt,737,793,1530,0.049854996904428295,711000,R,0
2019,Frogner,30689,Senterpartiet,171,290,461,0.015021669001922512,711000,Sp,4
2019,Frogner,30689,SV - Sosialistisk Venstreparti,840,1098,1938,0.06314966274560918,711000,SV,1
2019,Frogner,30689,Venstre,797,1551,2348,0.07650949851738408,711000,V,6
2019,Gamle Oslo,27805,Arbeiderpartiet,2628,2983,5611,0.2017982377270275,495000,Ap,2
2019,Gamle Oslo,27805,Fremskrittspartiet,656,685,1341,0.0482287358388779,495000,FrP,9
2019,Gamle Oslo,27805,Høyre,1400,2108,3508,0.12616435892825031,495000,H,8
2019,Gamle Oslo,27805,Kristelig Folkeparti,145,210,355,0.012767487861895343,495000,KrF,7
2019,Gamle Oslo,27805,Miljøpartiet De Grønne,3062,3141,6203,0.22308937241503327,495000,MDG,3
2019,Gamle Oslo,27805,Rødt,1951,2060,4011,0.1442546304621471,495000,R,0
2019,Gamle Oslo,27805,Senterpartiet,202,270,472,0.016975364143139722,495000,Sp,4
2019,Gamle Oslo,27805,SV - Sosialistisk Venstreparti,1954,2380,4334,0.15587124617874484,495000,SV,1
2019,Gamle Oslo,27805,Venstre,553,1084,1637,0.058874303182880776,495000,V,6
2019,Grorud,11385,Arbeiderpartiet,1703,2757,4460,0.39174352217830477,407000,Ap,2
2019,Grorud,11385,Fremskrittspartiet,477,628,1105,0.09705753184014053,407000,FrP,9
2019,Grorud,11385,Høyre,562,935,1497,0.13148880105401844,407000,H,8
2019,Grorud,11385,Kristelig Folkeparti,81,178,259,0.022749231444883618,407000,KrF,7
2019,Grorud,11385,Miljøpartiet De Grønne,369,537,906,0.07957839262187089,407000,MDG,3
